Text,Top1_Emotion,Top1_Probability,Top2_Emotion,Top2_Probability
안 그래도 노인들은 무시 당하는 세상인데… 너무 부당한 일이 많잖아.,6,0.36545950174331665,3,0.330007940530777
다음주에 엄마 생일이잖아. 잊은 건 아니지?,4,0.4340681731700897,3,0.29601046442985535
우와 그림 잘 그리시나봐요.,4,0.9336398243904114,5,0.0309296865016222
할 일이 너무 많은데 채점까지 우리한테 시키니까. 그게 본업도 아니고 한가한 것도 아닌데. 오늘 해야죠 뭐.,6,0.5209112763404846,2,0.21477626264095306
"미안해, 누나. 이번에는 약속 진짜 지킬게. 책 새로 살 건 아니지?",3,0.8355797529220581,4,0.07824818789958954
"그래도 정훈이랑 둘, 살기는 나쁘지 않네. 집 커봐야 집안일만 많아.",4,0.548854649066925,3,0.2742396295070648
그게 뭐에요?,4,0.6907121539115906,0,0.18965931236743927
그냥 모르는 척 해.,0,0.7195783853530884,4,0.09623220562934875
"헬스만 몇 년을 했지. 그런데 몰려다니는 아줌마들끼리 싸우기도 하고, 아무튼 좀 매너리즘에 빠져서 그만뒀어.",6,0.5673473477363586,2,0.16412217915058136
"아유 언니 그런 소리 하지를 마. 이렇게 정정한데, 한참 더 살아야지.",3,0.3150008022785187,6,0.2705616354942322
아 그래서 그런 가. 목이 점점 안 좋아지는 거 같아요. 특히 날개 뼈 쪽이 너무 아파요.,3,0.902894139289856,0,0.023913336917757988
어. 링겔 놔 드려서 지금 주무시고 계셔.,4,0.9489491581916809,5,0.017024068161845207
계속 아팠어? 그럼 엄마한테 말을 했어야지.,3,0.9049978852272034,5,0.019997302442789078
"왜, 우리 며느리가 눈이 엄청 크거든. 근데 이 애기도 똑같애. 눈이 엄청 커.",5,0.6879333257675171,1,0.18556450307369232
영화과?,4,0.9003629684448242,0,0.03282150998711586
그래서 선생님은 자녀가 있으세요?,4,0.944732129573822,5,0.02243228815495968
그냥 축하한다고 말하고 싶었어. 전화도 안 받으니까.,4,0.8870442509651184,3,0.03830353915691376
그런 편이긴 하지만. 그래도 부모님이 원하시던 대학은 못 갔지.,4,0.5098094940185547,3,0.35473039746284485
"그래도 좋겠다, 이제 새 집 들어가겠네.",5,0.5549789667129517,4,0.2641960680484772
"그래도, 내가 이런 걸 직접 당해보니까 글이 훨씬 더 생생해지고 풍성해지지 않겠어?",4,0.7205948233604431,5,0.10287514328956604
아 네네. 박상훈 감독님?,4,0.942419707775116,0,0.021675962954759598
여기 사립이라서 선생들이 아무리 망나니짓을 해도 안 짤려. 애들도 이제 ‘쟤 또 저런다’ 하고 넘어가.,6,0.5156480073928833,2,0.2831067144870758
내가 줬나 뭐. 진경이 걔가 알아서 갔지.,3,0.29567453265190125,2,0.17132368683815002
누가?,4,0.8698605298995972,0,0.05404956266283989
좋아하시는 분들은 엄청 좋아해서.. 맨날 사 가세요~,4,0.9429235458374023,5,0.021771561354398727
나야 좋지.,5,0.9282497763633728,4,0.030421148985624313
이모..  진짜 미안해.. 내가 생각이 짧았어...,3,0.9093950986862183,4,0.021578604355454445
엄마의 본분은 밥 하는 거 아니야?,4,0.9251765608787537,0,0.0303959921002388
아니에요. 제가 제일 좋아하는 강동안 배우도 키가 그 정도거든요.,4,0.7946436405181885,5,0.16565723717212677
아니.  내가 사과도 기억 못할까봐. 그... 아... 망고!	 저번에 망고 엄청 잘 드셨잖아. 한 박스 사와요. 두고 깎아 드시라고.,4,0.7734962701797485,5,0.11383252590894699
뭔데? 언니한테 다 말해봐.,4,0.9527422785758972,5,0.016719648614525795
살다보면 또 저절로 적응 될거야.,5,0.626029908657074,4,0.31014174222946167
지금 나보고 걸레라는 거야?,6,0.5990275144577026,2,0.21934685111045837
그럼요…?,0,0.5426567196846008,1,0.28885042667388916
걔 엄청 맞았을 걸. 핸드폰도 뺏긴 거 같애. 그 뒤로 연락도 안돼.,0,0.48809489607810974,3,0.33971819281578064
"지금은, 엄마 아빠가 이 집 사느라 돈을 다 써서, 어딜 갈 수가 없어.",3,0.8856944441795349,0,0.03606954589486122
"그럼. 새콤하니, 얼마나 맛있는데.",5,0.9356419444084167,4,0.02360408753156662
죄송하죠… 아이를 맡겨놓고… 학교에 자주 오는 부모들도 많을텐데.. 이렇게 맡겨만 두고 인사 드리니까 좀 그렇네요~,3,0.764567494392395,4,0.1366424560546875
그렇게 오래는 아닌데. 아 먹고 싶었는데 나 하나만 사줘. 이번주 안에 꼭 먹을게.,3,0.5825433135032654,4,0.2823503017425537
이게 뭐가 추상적이야? 분명하게 말했잖아.,0,0.7538588047027588,6,0.07118988782167435
아 그랬어?,1,0.8393531441688538,0,0.10598893463611603
